predict,raw
-2.3080037,5.309196
-2.307882,0.5389528
-2.307938,0.89992094
-2.3080409,-0.9732437
-2.307852,-2.7011926
-2.307889,3.2862747
-2.3078938,5.359376
-2.3078916,0.14964032
-2.3079467,0.31007776
-2.3080342,3.293407
-2.3078532,2.757588
-2.3078928,-2.1823015
-2.3079045,0.2754064
-2.3078969,-3.2877836
-2.3078582,-0.0682361
-2.307882,-0.35329685
-2.3080006,1.0222715
-2.3079152,2.1797097
-2.3080819,-1.2125406
-2.307911,-0.8203676
-2.3079185,3.209069
-2.3078809,3.8796122
-2.3078768,-1.9102777
-2.3079524,1.8892517
-2.307934,2.091321
-2.3078601,-3.8520794
-2.3078773,0.41646704
-2.3079836,1.0072714
-2.3078682,2.20156
-2.3079064,-1.058211
-2.3081343,-2.1932554
-2.307894,-4.0244694
-2.3078802,-0.92546797
-2.3078754,0.7699642
-2.3079436,3.183554
-2.308,2.0146713
-2.3081496,0.6731199
-2.307935,1.4878285
-2.3078828,-4.04649
-2.3078666,-3.5686798
-2.3078706,-3.4928145
-2.3078856,-1.6054324
-2.3079078,0.35120615
-2.308147,-0.45680898
-2.3080986,2.5499759
-2.3080893,-0.8620248
-2.3079598,4.0161495
-2.3078933,-5.4461575
-2.3079116,3.1466897
-2.3078732,1.4307685
-2.3079243,0.6911186
-2.307908,0.86274177
-2.3082888,1.0408201
