predict,raw
-1.0240116,5.309196
-1.6247462,0.5389528
-1.638607,0.89992094
1.2410185,-0.9732437
-1.3606263,-2.7011926
-1.0598458,3.2862747
-2.5623572,5.359376
-0.805574,0.14964032
1.0901185,0.31007776
2.0577404,3.293407
-1.7985324,2.757588
0.9301497,-2.1823015
-1.522363,0.2754064
-0.35556865,-3.2877836
-3.2909317,-0.0682361
-1.7938881,-0.35329685
-1.5759468,1.0222715
-4.2672977,2.1797097
-0.40629667,-1.2125406
-1.7539836,-0.8203676
-1.7813157,3.209069
-2.4881005,3.8796122
-0.28651118,-1.9102777
-2.1326811,1.8892517
-0.65467113,2.091321
-1.1037526,-3.8520794
-1.1842629,0.41646704
-0.5440348,1.0072714
-1.9717557,2.20156
-2.780491,-1.058211
-0.123590425,-2.1932554
-2.5461836,-4.0244694
2.2556362,-0.92546797
-0.88404685,0.7699642
-1.4832783,3.183554
1.1874154,2.0146713
-1.3488742,0.6731199
-8.344469,1.4878285
-1.3403171,-4.04649
-2.3269587,-3.5686798
2.0713603,-3.4928145
-1.5428996,-1.6054324
1.2902589,0.35120615
-3.3144312,-0.45680898
-2.0364554,2.5499759
-3.2138393,-0.8620248
-1.2860731,4.0161495
-0.36433864,-5.4461575
-2.517263,3.1466897
-2.2303836,1.4307685
-0.7886124,0.6911186
-1.9088988,0.86274177
-0.4969281,1.0408201
